"indice_pop";"montagne";"touristique";"metropole";"metropolehidf";"annee";"population";"dep_invest";"dep_invest_ba";"rec_invest";"rec_invest_ba";"dep_equip";"dep_equip_ba";"dep_equip_brut";"dep_equip_brut_ba";"remboursement";"remboursement_ba";"emprunt";"emprunt_ba";"dep_fonc";"dep_fonc_ba";"rec_fonc";"rec_fonc_ba";"dette";"dette_ba";"fc_i";"fc_f";"terrains";"terrains_ba";"constructions";"constructions_ba";"reseaux";"reseaux_ba";"bien_meuble";"bien_meuble_ba";"taxe_amenag";"taxe_amenag_ba";"compte13_10";"compte13_10_ba";"amende";"amende_ba";"FCTVA";"FCTVA_ba";"planFCTVA_r";"planFCTVA_d";"planFCTVA_r_ba";"planFCTVA_d_ba";"cessions";"cessions_ba";"subvention_204";"subvention_204_ba";"siren_epci";"epn";"epn_ba";"rec_invest_hors_planFCTVA";"rec_invest_hors_planFCTVA_ba";"plan_relance_FCTVA_net";"plan_relance_FCTVA_net_ba";"remb_avance";"remb_avance_ba";"sub_dot_ssTAAm";"sub_dot_ssTAAm_ba";"autres_dep_equip";"autres_dep_equip_ba";"autres_rec_invest";"autres_rec_invest_ba";"autres_rec_invest_hors_planrelance";"autres_rec_invest_hors_planrelance_ba";"var_fon_roul";"var_fon_roul_ba"
0;0;0;0;1;2014;104324;42651,72429;803,44869;32825,07801;1026,72761;42261,03607;803,44869;42556,13076;803,44869;2968,93651;0;3982,62464;0;123045,43167;174,73943;123105,29825;356,65341;34658,6019;194,98138;0;480,95172;1104,05205;0;20179,73953;0;14717,34937;803,44869;4569,95456;0;304,454;0;26307,37629;966,0702;196,7881;0;5645,13705;60,65741;0;0;0;0;697,54605;0;386,68822;0;NA;-2909,06993;181,91398;32825,07801;1026,72761;0;0;-295,09469;0;25806,13419;966,0702;1985,03525;0;175,01862;2,8421709430404e-14;175,01862;2,8421709430404e-14;-8753,09157;405,1929
0;0;0;0;1;2015;96203;41842,8514;1731,3573;33192,96011;1742,66208;40524,92176;1731,3573;41331,39196;1731,3573;3360,15496;0;7427,72259;0;115203,83398;96,8435;121809,00283;131,08904;39456,00773;194,98138;0;36,829;1390,845;0;23843,51745;0;9107,12856;1731,3573;4720,41065;0;342,98886;0;25848,04175;1616,03053;78,39481;0;5409,23771;126,63155;850;0;0;0;784,53281;0;1146,25484;0;NA;3245,01389;34,24554;32342,96011;1742,66208;850;0;-806,4702;0;25426,65808;1616,03053;2269,4903;0;1151,14784;5,6843418860808e-14;301,14784;5,6843418860808e-14;2022,84519;45,5503200000001
0;0;0;0;1;2016;97244;22013,61303;43,16066;25033,48494;309,91015;21891,90065;43,16066;22096,01772;43,16066;3748,77673;0,5;1129,3382;0;117136,72465;106,42926;125447,52073;73,07002;36836,5692;194,98138;0;0,98;560,95132;0;10251,40524;0;4940,50267;43,16066;4738,41856;0;209,3251;0;19830,10554;0;76,05022;0;5048,49123;283,91015;0;375;0;0;489,03379;26;110,82434;0;NA;4562,01935;-33,85924;25408,48494;309,91015;-375;0;-204,11707;0;19544,73022;0;1604,73993;0;-334,145620000001;0;40,8543799999993;0;8711,22946;232,89025
0;0;0;0;1;2017;88196;25045,71791;46,02741;18726,7025;0,09;24055,96213;46,02741;24147,62231;46,02741;3120,40986;0;4502,34495;0,5;110237,60293;24,15539;111345,73613;96,27076;35100,03229;194,98138;0;0,696;623,58404;0;13944,49628;0;4478,9201;46,02741;3429,22257;0;173,67826;0;13875,23616;0;40,47705;0;4556,77998;0;0;0;0;0;162,41265;0;0;0;NA;-2012,27666;72,11537;18726,7025;0,09;0;0;-91,6601800000001;0;13661,08085;0;1671,39932;0;132,27371;0,09;132,27371;0,09;-3828,94712;26,67796
0;0;0;2;0;2014;25355205;7047660,40131;860711,30174;3445364,62507;414496,92773;6700256,79958;830015,45541;6714244,0946;834094,15112;1706682,6506;359212,58506;1369431,45267;466561,43303;17066980,75945;1046702,82005;20966805,53034;1426765,44758;16289480,2543;3395721,59545;10341,71549;191556,69171;513925,785;17463,74058;3137897,49426;192755,36346;2269174,72713;576697,551;424867,49357;16586,7708;276145,88166;1906,43206;1887547,193;287846,92754;36175,81891;62,27162;1016349,05281;51621,8542;0;0;0;0;389669,13951;17758,67916;197928,99103;738,56947;NA;2193142,12029;20850,04247;3445364,62507;414496,92773;0;0;-13987,29502;-4078,69571;1575225,49243;285878,22386;368378,59464;30590,72528;151799,23975;57269,46683;151799,23975;57269,46683;-39722,20328;41197,10149
0;0;0;2;0;2015;25442618;6198980,93528;739602,99314;3481019,47279;408112,40445;5813740,04048;703053,5663;5829237,32906;706817,62661;1792838,45211;386940,3292;1617496,38094;446536,01365;17201527,89486;1011439,40129;21148677,6498;1434546,57978;16169291,54322;3409314,56198;14373,38412;188470,60202;522632,60915;16786,48405;2613469,92455;180559,2114;1926460,50567;465741,96136;409661,36697;17394,84002;335928,71918;865,36903;1847238,88467;274820,76403;34171,93403;86,02461;988687,23568;53627,58248;50081,333;16,506;108,517;0;408115,90049;18865,09681;207649,40124;472,41396;NA;2154311,30283;36166,84929;3430954,64579;408003,88745;50064,827;108,517;-15497,28858;-3764,06031;1477138,23146;273869,37039;357012,92272;26335,12978;236977,45195;60798,96113;186912,62495;60690,44413;1053846,22128;151212,27425
0;0;0;2;0;2016;25569293;6360787,84255;695079,42197;3298801,84022;330233,17134;5975823,16515;670020,08727;5988532,59774;674689,95529;1757417,34947;388277,23805;1412672,16883;385897,00954;17069746,22729;998949,76241;21016417,66281;1466610,09604;15921809,54326;3359223,27042;11199,97437;214216,54769;553548,85894;14110,89342;2702727,45025;160756,50223;1942469,12611;451183,90508;410497,96578;16226,76126;319251,17532;1325,06468;1821766,96391;223637,12737;31673,25275;39,061;866211,47628;41165,43393;3835,27125;15933,432;83,76973;46,0725;439403,57413;18066,54451;209086,47028;223,2842;NA;2189254,08605;79383,09558;3310900,00097;330195,47411;-12098,16075;37,69723;-12709,43259;-4669,86802;1470842,53584;222273,00169;379289,19666;32411,8933;171419,8259;47364,06553;183517,98665;47326,3683;539940,25255;100433,85449
0;0;0;2;0;2017;25569903;6970962,73371;719508,34978;3337103,3449;321168,93155;6558449,82239;690255,64564;6572583,90157;693758,17471;1732155,12912;349307,99786;1751897,22716;394869,86317;17196915,20425;986643,21916;21164515,21277;1469557,88506;16003714,96289;3213815,78817;9161,45995;219194,61413;574475,88004;16445,37479;3100663,9426;167000,19957;2092651,19531;465750,15555;427507,40367;16094,23685;339801,80022;1070,74397;1872235,09491;222225,03033;33842,59571;35,77277;821800,57297;33926,77994;2222,45489;25978,03449;66,83626;87,85866;487848,68718;18758,18476;206080,12421;1224,63238;NA;2235444,8794;133606,66804;3360858,9245;321189,95395;-23755,5796;-21,0224;-14134,07918;-3502,52907;1498590,69898;221118,51359;377285,47995;28468,20795;155218,98984;46258,93652;178974,56944;46279,95892;353482,71775;130137,11298
0;0;0;2;1;2014;1900610;599657,7416;55533,70941;299593,92842;31534,89276;579083,34213;53435,36335;580124,12546;53508,01987;123452,45906;15245,5594;126431,57208;26957,50939;1774738,55989;32166,98083;2033777,16538;68430,35391;1235929,71401;150321,2445;283,83347;10394,31737;48682,76973;1477,12965;292749,42576;15158,57882;170771,3191;30908,40214;39677,49759;3781,99978;25124,84851;99,75586;164648,33166;23211,30008;1614,41154;0;76159,53023;2286,5844;0;0;0;0;49825,12319;1665,88833;10722,73943;0;NA;135586,14643;21017,81368;299593,92842;31534,89276;0;0;-1040,78333;-72,6565200000001;137909,07161;23111,54422;28243,11328;2181,90948;8960,94334;4371,11995;8960,94334;4371,11995;-38046,09467;23976,50642
0;0;0;2;1;2015;1895795;503367,94381;60292,72878;316584,15029;31261,34179;479236,89067;55001,46062;479993,53914;55109,82256;118698,90118;15282,79315;135922,19544;27154,43535;1739032,83942;40461,3435;2042361,03948;65387,08131;1249944,32257;152962,03038;402,41214;8250,15767;47345,51903;1799,48728;232585,28923;11004,60008;140477,00542;34694,20371;34443,61293;3593,88406;30447,39034;306,51374;151645,20138;20749,66274;1234,20242;0;92275,22248;2682,3944;3335,547;0;0;0;61906,23866;409,6504;9748,93272;0;NA;184629,29888;9642,94466;313248,60329;31261,34179;3335,547;0;-756,648470000001;-108,36194;119963,60862;20443,149;25142,11253;4017,64743;10757,48777;7419,63425;7421,94077;7419,63425;133767,7008;7765,99302
