siren_epci;insee;siren_com;ptot_2016
200029999;01056;210100566;379
200029999;01068;210100681;762
200029999;01077;210100772;188
200029999;01199;210101994;2212
200029999;01200;210102000;208
200029999;01242;210102422;130
200029999;01273;210102737;1655
200029999;01303;210103032;1730
200029999;01304;210103040;2783
200029999;01314;210103149;1626
200029999;01331;210103313;171
200029999;01363;210103636;1747
200029999;01404;210104048;126
200029999;01430;210104303;538
200035210;01001;210100012;780
200035210;01028;210100285;583
200035210;01083;210100830;867
200035210;01093;210100939;5165
200035210;01113;210101135;817
200035210;01146;210101465;411
200035210;01272;210102729;1509
200035210;01319;210103198;476
200035210;01328;210103289;609
200035210;01335;210103354;355
200035210;01356;210103560;219
200035210;01389;210103891;1852
200035210;01393;210103933;515
200035210;01412;210104121;578
200035210;01428;210104287;122
200040350;01006;210100061;114
200040350;01009;210100095;345
200040350;01015;200053668;642
200040350;01019;210100194;22
200040350;01022;210100228;1217
200040350;01034;210100343;9337
200040350;01039;210100392;470
200040350;01058;210100582;891
200040350;01061;210100616;1227
200040350;01066;210100665;72
200040350;01073;210100731;1039
200040350;01098;210100988;848
200040350;01100;210101002;152
200040350;01110;210101101;126
200040350;01116;210101168;534
200040350;01117;210101176;154
200040350;01133;210101333;390
200040350;01138;210101382;3043
200040350;01141;210101416;420
200040350;01162;210101622;65
200040350;01193;210101937;223
200040350;01208;210102083;148
200040350;01227;210102273;452
200040350;01234;210102349;171
200040350;01239;210102398;658
200040350;01268;210102687;254
200040350;01286;200059913;960
200040350;01294;210102943;845
200040350;01302;210103024;162
200040350;01310;210103107;227
200040350;01316;210103164;170
200040350;01329;210103297;147
200040350;01338;200060143;1202
200040350;01341;210103412;157
200040350;01358;210103586;416
200040350;01372;210103727;439
200040350;01452;210104527;1127
200040350;01454;210104543;1024
200040350;01456;210104568;80
200042497;01005;210100053;1666
200042497;01021;210100210;1412
200042497;01030;210100301;901
200042497;01105;210101051;1516
200042497;01157;210101572;2247
200042497;01166;210101663;2137
200042497;01238;210102380;2507
200042497;01250;210102505;2063
200042497;01285;210102851;1172
200042497;01318;210103180;701
200042497;01322;210103222;4554
200042497;01339;210103396;1449
200042497;01347;210103479;1883
200042497;01353;210103537;1663
200042497;01362;210103628;798
200042497;01398;210103982;1247
200042497;01423;210104238;833
200042497;01427;210104279;6921
200042497;01446;210104469;1441
200042935;01011;210100111;402
200042935;01014;210100145;3534
200042935;01031;210100319;3850
200042935;01035;210100350;336
200042935;01051;210100517;94
200042935;01060;210100608;568
200042935;01063;210100632;522
200042935;01067;210100673;272
200042935;01087;210100871;289
200042935;01101;210101010;169
200042935;01112;210101127;457
200042935;01148;210101481;1913
200042935;01152;210101523;793
200042935;01170;210101705;1030
200042935;01171;210101713;967
200042935;01181;210101812;1206
200042935;01191;210101911;175
200042935;01192;210101929;2388
200042935;01204;200053395;733
200042935;01206;210102067;269
200042935;01214;210102141;153
200042935;01228;210102281;672
200042935;01237;210102372;1648
200042935;01240;210102406;674
200042935;01265;210102653;3498
200042935;01267;210102679;1055
200042935;01269;210102695;3686
200042935;01274;210102745;650
200042935;01282;210102828;265
200042935;01283;210102836;22875
200042935;01293;210102935;180
200042935;01307;210103073;878
200042935;01373;210103735;1140
200042935;01392;210103925;709
200042935;01410;210104105;332
200042935;01441;210104410;696
240100156;01024;210100244;3311
240100156;01040;210100400;477
240100156;01115;210101150;1344
240100156;01130;210101309;1404
240100156;01140;210101408;729
240100156;01154;210101549;812
240100156;01163;210101630;2040
240100156;01196;210101960;1111
240100156;01229;210102299;1153
240100156;01236;210102364;1015
240100156;01266;210102661;2487
240100156;01346;210103461;906
240100156;01375;210103750;826
240100156;01387;210103875;198
240100339;01124;210101242;680
240100339;01128;210101283;284
240100339;01139;210101390;461
240100339;01212;210102125;708
240100339;01230;210102307;320
240100339;01364;210103644;747
240100339;01367;210103677;755
240100339;01380;210103800;702
240100339;01388;210103883;1111
240100339;01406;210104063;171
240100339;01433;210104337;323
240100339;01437;210104378;238
240100370;01036;210100368;543
240100370;01059;210100590;93
240100370;01079;210100798;829
240100370;01097;210100970;226
240100370;01187;200053676;723
240100370;01218;210102182;100
240100370;01221;210102216;122
240100370;01330;210103305;199
240100370;01414;210104147;224
240100370;01415;210104154;447
240100370;01442;210104428;388
240100370;01453;210104535;314
240100396;01013;210100137;163
240100396;01017;210100178;430
240100396;01076;210100764;150
240100396;01107;210101077;140
240100396;01111;210101119;115
240100396;01155;210101556;148
240100396;01186;210101861;86
240100396;01277;210102778;120
240100396;01279;210102794;97
240100396;01384;210103842;2288
240100396;01416;210104162;1086
240100396;01421;210104212;735
240100412;01037;210100376;280
240100412;01064;210100640;961
240100412;01190;210101903;119
240100412;01216;210102166;895
240100412;01219;210102190;163
240100412;01233;210102331;131
240100412;01255;210102554;572
240100412;01280;210102802;155
240100412;01400;210104006;144
240100412;01403;210104030;1311
240100578;01012;210100129;322
240100578;01080;200056695;704
240100578;01121;210101218;118
240100578;01122;210101226;867
240100578;01185;210101853;4067
240100578;01311;210103115;45
240100578;01417;210104170;312
240100594;01167;210101671;689
240100594;01188;210101887;613
240100594;01252;210102521;795
240100594;01295;210102950;645
240100594;01348;210103487;2858
240100594;01351;210103511;1542
240100594;01420;210104204;1645
240100610;01027;210100277;2936
240100610;01032;210100327;3392
240100610;01049;210100491;2984
240100610;01062;210100624;844
240100610;01142;210101424;4363
240100610;01262;210102620;7189
240100610;01276;210102760;1565
240100610;01297;210102976;769
240100610;01342;210103420;544
240100628;01053;210100533;42439
240100628;01065;210100657;1781
240100628;01145;210101457;1209
240100628;01195;210101952;1730
240100628;01211;210102117;1440
240100628;01259;210102596;674
240100628;01264;210102646;1018
240100628;01289;210102893;6443
240100628;01301;210103016;2484
240100628;01336;210103362;1153
240100628;01344;210103446;5696
240100628;01385;210103859;1000
240100628;01405;210104055;1228
240100628;01429;210104295;681
240100628;01451;210104519;6446
240100636;01095;210100954;653
240100636;01125;210101259;627
240100636;01127;210101275;515
240100636;01150;210101507;225
240100636;01172;210101721;151
240100636;01177;210101770;180
240100636;01241;210102414;1323
240100636;01309;210103099;93
240100636;01350;210103503;2578
240100636;01408;210104089;715
240100636;01426;200057347;2577
240100651;01029;210100293;682
240100651;01038;210100384;738
240100651;01108;210101085;1185
240100651;01147;210101473;488
240100651;01232;210102323;2246
240100651;01296;210102968;405
240100651;01391;210103917;296
240100651;01432;210104329;265
240100651;01445;210104451;666
240100669;01046;210100467;839
240100669;01084;210100848;771
240100669;01096;210100962;1001
240100669;01246;210102463;2177
240100669;01368;210103685;762
240100669;01457;210104576;2975
240100677;01074;210100749;2447
240100677;01090;210100905;346
240100677;01092;210100921;1657
240100677;01129;210101291;267
240100677;01299;210102992;541
240100677;01381;210103818;915
240100677;01434;210104345;382
240100677;01449;210104493;701
240100685;01016;210100160;433
240100685;01050;210100509;321
240100685;01057;210100574;518
240100685;01094;210100947;746
240100685;01102;210101028;958
240100685;01175;210101754;850
240100685;01284;210102844;664
240100685;01305;210103057;2329
240100685;01323;210103230;1001
240100685;01337;210103370;1259
240100685;01352;210103529;566
240100685;01402;210104022;701
240100693;01072;210100723;3123
240100693;01106;210101069;181
240100693;01184;210101846;819
240100693;01245;210102455;902
240100693;01254;210102547;1874
240100693;01317;210103172;293
240100693;01321;210103214;940
240100693;01369;210103693;934
240100693;01447;210104477;1305
240100727;01075;210100756;1230
240100727;01165;210101655;1513
240100727;01169;210101697;602
240100727;01183;210101838;1453
240100727;01225;210102257;416
240100727;01243;210102430;1252
240100727;01258;210102588;1252
240100727;01263;210102638;3895
240100750;01071;210100715;4676
240100750;01078;210100780;1401
240100750;01103;210101036;1446
240100750;01104;210101044;475
240100750;01109;210101093;2151
240100750;01135;210101358;2094
240100750;01143;210101432;9020
240100750;01153;210101531;1988
240100750;01158;210101580;960
240100750;01160;210101606;9456
240100750;01173;210101739;11200
240100750;01180;210101804;798
240100750;01209;210102091;663
240100750;01210;210102109;233
240100750;01247;210102471;374
240100750;01281;210102810;4394
240100750;01288;210102885;2487
240100750;01308;210103081;826
240100750;01313;210103131;7742
240100750;01354;210103545;9832
240100750;01360;210103602;1603
240100750;01397;210103974;1098
240100750;01399;210103990;1940
240100750;01401;210104014;2068
240100750;01419;210104196;6185
240100750;01435;210104352;2213
240100750;01436;210104360;560
240100800;01043;210100434;4649
240100800;01249;210102497;9389
240100800;01275;210102752;2539
240100800;01376;210103768;3973
240100800;01418;210104188;1049
240100800;01424;210104246;1703
240100818;01023;210100236;72
240100818;01025;210100251;3236
240100818;01026;210100269;912
240100818;01144;210101440;892
240100818;01159;210101598;3297
240100818;01231;210102315;2001
240100818;01320;210103206;3722
240100818;01332;210103321;722
240100818;01439;210104394;100
240100826;01042;210100426;272
240100826;01123;210101234;1088
240100826;01134;210101341;1765
240100826;01136;210101366;854
240100826;01179;210101796;1977
240100826;01203;210102034;1218
240100826;01291;210102919;804
240100826;01306;210103065;1707
240100826;01334;210103347;559
240100826;01343;210103438;1764
240100826;01355;210103552;477
240100826;01365;210103651;1103
240100842;01069;210100699;1483
240100842;01151;210101515;1174
240100842;01197;210101978;358
240100842;01374;210103743;1759
240100842;01422;210104220;1395
240100842;01425;210104253;301
240100875;01045;210100459;289
240100875;01052;210100525;307
240100875;01085;210100855;380
240100875;01207;210102075;321
240100875;01235;210102356;1063
240100875;01248;210102489;2165
240100875;01261;210102612;696
240100875;01333;210103339;2982
240100875;01359;210103594;239
240100875;01371;210103719;1345
240100875;01382;210103826;298
240100875;01383;210103834;1491
240100875;01443;210104436;4534
240100883;01002;210100020;240
240100883;01004;210100046;14888
240100883;01007;210100079;2618
240100883;01008;210100087;763
240100883;01041;210100418;761
240100883;01047;210100475;970
240100883;01054;210100541;1310
240100883;01088;210100889;943
240100883;01089;210100897;1994
240100883;01099;210100996;1581
240100883;01149;210101499;1040
240100883;01156;210101564;783
240100883;01198;210101986;267
240100883;01202;210102026;7057
240100883;01213;210102133;1265
240100883;01224;210102240;3142
240100883;01244;210102448;7589
240100883;01260;210102604;264
240100883;01290;210102901;1238
240100883;01325;210103255;980
240100883;01345;210103453;2243
240100883;01349;210103495;451
240100883;01361;210103610;1461
240100883;01366;210103669;969
240100883;01378;210103784;2508
240100883;01379;210103792;747
240100883;01386;210103867;1135
240100883;01390;210103909;1082
240100883;01396;210103966;1049
240100883;01411;210104113;269
240100883;01431;210104311;1242
240100883;01444;210104444;1169
240100883;01450;210104501;3415
240100891;01033;210100335;11961
240100891;01044;210100442;587
240100891;01081;210100814;727
240100891;01082;210100822;654
240100891;01091;210100913;3253
240100891;01114;210101143;573
240100891;01174;210101747;178
240100891;01189;210101895;1163
240100891;01205;210102059;1073
240100891;01215;210102158;50
240100891;01257;210102570;346
240100891;01298;210102984;131
240100891;01357;210103578;477
240100891;01413;210104139;76
240100891;01448;210104485;366
200040426;02009;210200093;529
200040426;02066;210200655;214
200040426;02075;210200747;210
200040426;02123;210208112;300
200040426;02124;210208120;658
200040426;02149;210201364;64
200040426;02170;210201570;128
200040426;02184;210201711;371
200040426;02287;210202701;1110
200040426;02306;210202883;589
200040426;02345;210203261;45
200040426;02380;210203600;32
200040426;02387;210203675;1105
200040426;02446;210204236;133
200040426;02483;210204608;542
200040426;02503;210204806;893
200040426;02532;210205092;995
200040426;02552;210205290;188
200040426;02575;210205522;1734
200040426;02592;210205696;228
200040426;02605;210205811;173
200040426;02636;210206116;211
200040426;02639;210206140;393
200040426;02640;210206157;174
200040426;02648;210206231;1993
200040426;02717;210206900;638
200040426;02721;210206942;493
200040426;02732;210207056;101
200040426;02741;210207148;557
200040426;02756;210207296;634
200040426;02775;210207486;942
200040426;02813;210207866;299
200043495;02024;210200242;56
200043495;02028;210200283;2669
200043495;02037;210200374;1422
200043495;02080;210200796;374
200043495;02088;210200861;73
200043495;02128;210201166;1596
200043495;02132;210201190;212
200043495;02150;210201372;70
