"";"code_insee";"LBUDG";"nom_dep";"nom_reg";"nom_com"
"1";"01001";"ABERGEMENT-CLEMENCIAT (L')";"Ain";"Auvergne-Rhone-Alpes";"ABERGEMENT-CLEMENCIAT (L') (01)"
"2";"01002";"ABERGEMENT-DE-VAREY (L')";"Ain";"Auvergne-Rhone-Alpes";"ABERGEMENT-DE-VAREY (L') (01)"
"3";"01004";"AMBERIEU-EN-BUGEY";"Ain";"Auvergne-Rhone-Alpes";"AMBERIEU-EN-BUGEY (01)"
"4";"01005";"AMBERIEUX-EN-DOMBES";"Ain";"Auvergne-Rhone-Alpes";"AMBERIEUX-EN-DOMBES (01)"
"5";"01006";"AMBLEON";"Ain";"Auvergne-Rhone-Alpes";"AMBLEON (01)"
"6";"01007";"AMBRONAY";"Ain";"Auvergne-Rhone-Alpes";"AMBRONAY (01)"
"7";"01008";"AMBUTRIX";"Ain";"Auvergne-Rhone-Alpes";"AMBUTRIX (01)"
"8";"01009";"ANDERT CONDON";"Ain";"Auvergne-Rhone-Alpes";"ANDERT CONDON (01)"
"9";"01010";"ANGLEFORT";"Ain";"Auvergne-Rhone-Alpes";"ANGLEFORT (01)"
"10";"01011";"APREMONT";"Ain";"Auvergne-Rhone-Alpes";"APREMONT (01)"
"11";"01012";"ARANC";"Ain";"Auvergne-Rhone-Alpes";"ARANC (01)"
"12";"01013";"ARANDAS";"Ain";"Auvergne-Rhone-Alpes";"ARANDAS (01)"
"13";"01014";"ARBENT";"Ain";"Auvergne-Rhone-Alpes";"ARBENT (01)"
"14";"01015";"ARBOYS EN BUGEY";"Ain";"Auvergne-Rhone-Alpes";"ARBOYS EN BUGEY (01)"
"15";"01016";"ARBIGNY";"Ain";"Auvergne-Rhone-Alpes";"ARBIGNY (01)"
"16";"01017";"ARGIS";"Ain";"Auvergne-Rhone-Alpes";"ARGIS (01)"
"17";"01019";"ARMIX";"Ain";"Auvergne-Rhone-Alpes";"ARMIX (01)"
"18";"01021";"ARS-SUR-FORMANS";"Ain";"Auvergne-Rhone-Alpes";"ARS-SUR-FORMANS (01)"
"19";"01022";"ARTEMARE";"Ain";"Auvergne-Rhone-Alpes";"ARTEMARE (01)"
"20";"01023";"ASNIERES-SUR-SAONE";"Ain";"Auvergne-Rhone-Alpes";"ASNIERES-SUR-SAONE (01)"
"21";"01024";"ATTIGNAT";"Ain";"Auvergne-Rhone-Alpes";"ATTIGNAT (01)"
"22";"01025";"BAGE-LA-VILLE";"Ain";"Auvergne-Rhone-Alpes";"BAGE-LA-VILLE (01)"
"23";"01026";"BAGE-LE-CHATEL";"Ain";"Auvergne-Rhone-Alpes";"BAGE-LE-CHATEL (01)"
"24";"01027";"BALAN";"Ain";"Auvergne-Rhone-Alpes";"BALAN (01)"
"25";"01028";"BANEINS";"Ain";"Auvergne-Rhone-Alpes";"BANEINS (01)"
"26";"01029";"BEAUPONT";"Ain";"Auvergne-Rhone-Alpes";"BEAUPONT (01)"
"27";"01030";"BEAUREGARD";"Ain";"Auvergne-Rhone-Alpes";"BEAUREGARD (01)"
"28";"01031";"BELLIGNAT";"Ain";"Auvergne-Rhone-Alpes";"BELLIGNAT (01)"
"29";"01032";"BELIGNEUX";"Ain";"Auvergne-Rhone-Alpes";"BELIGNEUX (01)"
"30";"01033";"BELLEGARDE-SUR-VALSERINE";"Ain";"Auvergne-Rhone-Alpes";"BELLEGARDE-SUR-VALSERINE (01)"
"31";"01034";"BELLEY";"Ain";"Auvergne-Rhone-Alpes";"BELLEY (01)"
"32";"01035";"BELLEYDOUX";"Ain";"Auvergne-Rhone-Alpes";"BELLEYDOUX (01)"
"33";"01036";"BELMONT-LUTHEZIEU";"Ain";"Auvergne-Rhone-Alpes";"BELMONT-LUTHEZIEU (01)"
"34";"01037";"BENONCES";"Ain";"Auvergne-Rhone-Alpes";"BENONCES (01)"
"35";"01038";"BENY";"Ain";"Auvergne-Rhone-Alpes";"BENY (01)"
"36";"01039";"BEON";"Ain";"Auvergne-Rhone-Alpes";"BEON (01)"
"37";"01040";"BEREZIAT";"Ain";"Auvergne-Rhone-Alpes";"BEREZIAT (01)"
"38";"01041";"BETTANT";"Ain";"Auvergne-Rhone-Alpes";"BETTANT (01)"
"39";"01042";"BEY";"Ain";"Auvergne-Rhone-Alpes";"BEY (01)"
"40";"01043";"BEYNOST";"Ain";"Auvergne-Rhone-Alpes";"BEYNOST (01)"
"41";"01044";"BILLIAT";"Ain";"Auvergne-Rhone-Alpes";"BILLIAT (01)"
"42";"01045";"BIRIEUX";"Ain";"Auvergne-Rhone-Alpes";"BIRIEUX (01)"
"43";"01046";"BIZIAT";"Ain";"Auvergne-Rhone-Alpes";"BIZIAT (01)"
"44";"01047";"BLYES";"Ain";"Auvergne-Rhone-Alpes";"BLYES (01)"
"45";"01049";"BOISSE (LA )";"Ain";"Auvergne-Rhone-Alpes";"BOISSE (LA ) (01)"
"46";"01050";"BOISSEY";"Ain";"Auvergne-Rhone-Alpes";"BOISSEY (01)"
"47";"01051";"BOLOZON";"Ain";"Auvergne-Rhone-Alpes";"BOLOZON (01)"
"48";"01052";"BOULIGNEUX";"Ain";"Auvergne-Rhone-Alpes";"BOULIGNEUX (01)"
"49";"01053";"BOURG VILLE";"Ain";"Auvergne-Rhone-Alpes";"BOURG VILLE (01)"
"50";"01054";"BOURG-SAINT-CHRISTOPHE";"Ain";"Auvergne-Rhone-Alpes";"BOURG-SAINT-CHRISTOPHE (01)"
"51";"01056";"BOYEUX-SAINT-JEROME";"Ain";"Auvergne-Rhone-Alpes";"BOYEUX-SAINT-JEROME (01)"
"52";"01057";"BOZ";"Ain";"Auvergne-Rhone-Alpes";"BOZ (01)"
"53";"01058";"BREGNIER-CORDON";"Ain";"Auvergne-Rhone-Alpes";"BREGNIER-CORDON (01)"
"54";"01059";"BRENAZ";"Ain";"Auvergne-Rhone-Alpes";"BRENAZ (01)"
"55";"01060";"BRENOD";"Ain";"Auvergne-Rhone-Alpes";"BRENOD (01)"
"56";"01061";"BRENS";"Ain";"Auvergne-Rhone-Alpes";"BRENS (01)"
"57";"01062";"BRESSOLLES";"Ain";"Auvergne-Rhone-Alpes";"BRESSOLLES (01)"
"58";"01063";"BRION";"Ain";"Auvergne-Rhone-Alpes";"BRION (01)"
"59";"01064";"BRIORD";"Ain";"Auvergne-Rhone-Alpes";"BRIORD (01)"
"60";"01065";"BUELLAS";"Ain";"Auvergne-Rhone-Alpes";"BUELLAS (01)"
"61";"01066";"BURBANCHE (LA )";"Ain";"Auvergne-Rhone-Alpes";"BURBANCHE (LA ) (01)"
"62";"01067";"CEIGNES";"Ain";"Auvergne-Rhone-Alpes";"CEIGNES (01)"
"63";"01068";"CERDON";"Ain";"Auvergne-Rhone-Alpes";"CERDON (01)"
"64";"01069";"CERTINES";"Ain";"Auvergne-Rhone-Alpes";"CERTINES (01)"
"65";"01071";"CESSY";"Ain";"Auvergne-Rhone-Alpes";"CESSY (01)"
"66";"01072";"CEYZERIAT";"Ain";"Auvergne-Rhone-Alpes";"CEYZERIAT (01)"
"67";"01073";"CEYZERIEU";"Ain";"Auvergne-Rhone-Alpes";"CEYZERIEU (01)"
"68";"01074";"CHALAMONT";"Ain";"Auvergne-Rhone-Alpes";"CHALAMONT (01)"
"69";"01075";"CHALEINS";"Ain";"Auvergne-Rhone-Alpes";"CHALEINS (01)"
"70";"01076";"CHALEY";"Ain";"Auvergne-Rhone-Alpes";"CHALEY (01)"
"71";"01077";"CHALLES LA MONTAGNE";"Ain";"Auvergne-Rhone-Alpes";"CHALLES LA MONTAGNE (01)"
"72";"01078";"CHALLEX";"Ain";"Auvergne-Rhone-Alpes";"CHALLEX (01)"
"73";"01079";"CHAMPAGNE-EN-VALROMEY";"Ain";"Auvergne-Rhone-Alpes";"CHAMPAGNE-EN-VALROMEY (01)"
"74";"01080";"CHAMPDOR-CORCELLES";"Ain";"Auvergne-Rhone-Alpes";"CHAMPDOR-CORCELLES (01)"
