code_dep;siren_epci;nom_complet;nj_epci2016;fisc_epci2016;nb_com_epci_2016;population
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14255
01;200035210;CC Chalaronne Centre;CC;FA;15;14858
01;200040350;CC Bugey Sud;CC;FPU;39;29970
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;37111
01;200042935;CC Haut - Bugey;CC;FPU;36;59078
01;240100156;CC de Montrevel - en - Bresse;CC;FPU;14;17813
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6500
01;240100370;CC du Valromey;CC;FA;12;4208
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5558
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;10;4731
01;240100578;CC du Plateau d'hauteville;CC;FPU;7;6435
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8787
01;240100610;CC de la Côtière À Montluel;CC;FPU;9;24586
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;75422
01;240100636;CC de Treffort en Revermont;CC;FPU;11;9637
01;240100651;CC du Canton de Coligny;CC;FA;9;6971
01;240100669;CC des Bords de Veyle;CC;FA;6;8525
01;240100677;CC du Canton de Chalamont;CC;FA;8;7256
01;240100685;CC de Pont de Vaux;CC;FA;12;10346
01;240100693;CC de la Vallière;CC;FPU;9;10371
01;240100727;CC Montmerle 3 Rivières;CC;FPU;8;11613
01;240100750;CC du Pays de Gex;CC;FA;27;87883
01;240100800;CC de Miribel et du Plateau;CC;FPU;6;23302
01;240100818;CC du Pays de Bâgé;CC;FPU;9;14954
01;240100826;CC du Canton de Pont de Veyle;CC;FPU;12;13588
01;240100842;CC Bresse Dombes Sud Revermont;CC;FPU;6;6470
01;240100875;CC Centre Dombes;CC;FPU;13;16110
01;240100883;CC de la Plaine de l'Ain;CC;FPU;33;67433
01;240100891;CC du Pays Bellegardien (Ccpb);CC;FA;15;21615
02;200040426;CC du Val de L'oise;CC;FA;32;16676
02;200043495;CA du Pays de Laon;CA;FPU;38;44282
02;240200261;CA de Saint Quentin;CA;FPU;20;74463
02;240200428;CC des Villes d'Oyse;CC;FA;21;15541
02;240200436;CC du Pays de la Vallée de l'Aisne;CC;FA;24;10637
02;240200444;CC de la Thiérache du Centre;CC;FPU;68;28221
02;240200451;CC de la Thiérache d'Aumale;CC;FA;12;6034
02;240200469;CC du Pays de la Serre;CC;FPU;42;15145
02;240200477;CA du Soissonnais;CA;FPU;28;53695
02;240200485;CC de la Région de Guise;CC;FA;24;11801
02;240200493;CC du Pays du Vermandois;CC;FPU;54;32351
02;240200501;CC du Val de l'Aisne;CC;FA;58;20792
02;240200519;CC du Canton d'Oulchy le Château;CC;FA;26;5869
02;240200527;CC du Canton de Saint Simon (C32s);CC;FPU;19;10487
02;240200550;CC du Canton de Condé en Brie;CC;FA;21;8623
02;240200568;CC de l'Ourcq et du Clignon;CC;FA;33;10367
02;240200576;CC de la Champagne Picarde;CC;FPU;48;21488
02;240200584;CC du Canton de Charly Sur Marne;CC;FA;21;15854
02;240200592;CC du Chemin des Dames;CC;FA;30;5540
02;240200600;CC du Pays des Trois Rivières;CC;FPU;26;22666
02;240200618;CC de la Région de Château Thierry;CC;FPU;25;32212
02;240200626;CC du Tardenois;CC;FA;20;7797
02;240200634;CC des Portes de la Thiérache;CC;FPU;30;7444
02;240200642;CC du Val de l'Ailette;CC;FPU;26;11526
02;240200659;CC des Vallons d'Anizy;CC;FA;16;8464
02;240200683;CC Chauny Tergnier;CC;FPU;24;40271
02;240200691;CC Villers-Cotterêts - Forêt de Retz;CC;FPU;18;16194
03;240300418;CC de la Montagne Bourbonnaise;CC;FA;15;6689
03;240300426;CA Vichy Val d'Allier;CA;FPU;23;79111
03;240300491;CC du Pays de Lapalisse;CC;FPU;14;8823
03;240300533;CC du Bassin de Gannat;CC;FA;16;13387
03;240300558;CC du Pays de Tronçais;CC;FPU;16;7746
03;240300566;CC du Val de Cher;CC;FPU;7;5801
03;240300582;CC Commentry-Néris les Bains;CC;FA;12;15980
03;240300590;CC de la Région de Montmarault;CC;FA;21;11418
03;240300608;CA Montluçonnaise;CA;FPU;10;61665
03;240300616;CA de Moulins;CA;FPU;26;56277
03;240300624;CC du Pays de Marcillat en Combraille;CC;FA;12;4742
03;240300640;CC Val de Besbre - Sologne Bourbonnaise;CC;FPU;16;11617
03;240300657;CC du Pays d'huriel;CC;FA;14;7885
03;240300673;CC le Donjon - Val Libre;CC;FPU;14;4620
03;240300681;CC Sioule, Colettes et Bouble;CC;FA;17;5449
03;240300699;CC en Pays Saint-Pourcinois;CC;FPU;28;16482
03;240300707;CC Varennes-Forterre;CC;FPU;14;9845
03;240300715;CC Bocage Sud;CC;FA;14;6401
03;240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;FA;8;4250
03;240300731;CC en Bocage Bourbonnais;CC;FA;11;7936
03;240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;FA;8;5397
04;200017762;CC de la Motte-Du-Caire -Turriers;CC;FA;16;2977
04;200018190;CC du Pays d'Entrevaux;CC;FA;6;1421
04;200034700;CA Durance-Lubéron-Verdon Agglomération;CA;FPU;26;63913
04;200034916;CC Asse-Bléone-Verdon;CC;FPU;17;23682
04;240400010;CC du Teillon;CC;FA;3;479
04;240400135;CC du Pays de Seyne;CC;FA;8;2796
04;240400275;CC Ubaye/Serre-Ponçon;CC;FA;2;711
04;240400283;CC du Sisteronais;CC;FA;7;9801
04;240400291;CC de la Moyenne-Durance;CC;FPU;8;17359
04;240400366;CC de Haute-Provence;CC;FA;8;5519
04;240400374;CC Vallée de l'Ubaye;CC;FPU;13;7615
04;240400382;CC du Moyen-Verdon;CC;FA;19;5408
04;240400408;CC des Duyes et Bléone;CC;FA;7;3401
04;240400440;CC Pays Forcalquier et Montagne de Lure;CC;FPU;13;9662
04;240400481;CC de la Vallée du Jabron;CC;FA;8;1623
04;240400499;CC du Pays de Banon;CC;FPU;12;3408
04;240400507;CC de Haute-Bléone;CC;FA;6;1874
04;240400515;CC du Haut-Verdon Val d'Allos;CC;FA;6;2132
04;240400523;CC Terres de Lumière;CC;FA;7;1884
04;240400531;CC Lure Vançon Durance;CC;FPU;6;3795
05;200040004;CA du Gapençais;CA;FPU;3;43559
05;240500181;CC du Haut-Buëch;CC;FPU;8;2010
05;240500199;CC Buëch Dévoluy;CC;FA;12;7550
05;240500215;CC du Champsaur;CC;FA;15;7462
05;240500223;CC du Queyras;CC;FA;8;2482
05;240500314;CC de Tallard-Barcillonnette;CC;FA;12;7051
05;240500322;CC du Canton de Ribiers Val de Méouge;CC;FA;6;2071
05;240500330;CC du Haut-Champsaur;CC;FA;4;2332
05;240500348;CC du Valgaudemar;CC;FA;8;1647
05;240500363;CC de l'Embrunais;CC;FPU;8;10982
05;240500389;CC du Laragnais;CC;FPU;7;6624
05;240500397;CC du Serrois;CC;FA;10;2478
05;240500413;CC Interdépartementale des Baronnies;CC;FA;15;2057
05;240500421;CC du Pays de Serre-Ponçon;CC;FA;8;2312
05;240500439;CC du Briançonnais;CC;FPU;13;21407
05;240500447;CC de la Vallée de l'Oule;CC;FA;3;220
05;240500454;CC du Savinois Serre-Ponçon;CC;FA;7;2337
05;240500462;CC du Pays des Ecrins;CC;FA;9;6857
05;240500470;CC de la Vallée de l'Avance;CC;FA;9;8019
05;240500488;CC du Guillestrois;CC;FA;8;5951
06;200030195;Métropole Nice Côte d'Azur;METRO;FPU;49;542891
06;200039857;CA du Pays de Grasse;CA;FPU;23;103907
06;200039915;CA des Pays de Lérins;CA;FPU;5;161314
06;200039931;CC Alpes d'Azur;CC;FA;34;9959
06;240600551;CA de la Riviera Française;CA;FPU;15;72151
